date,ROA(NI),ROA(OI),ROA(EBITDA),ROE(NI),ROE(OI),ROE(EBITDA),PER (P/E),PBR (P/B),EV/EBITDA,PCR,Interest Coverage Ratio,Cash Flow To Debt Ratio,Cash Flow To Liability Ratio,Operating Cash Flow Per Share,Operating Cash Flow Ratio,Asset Efficiency Ratio,Current Liability Coverage Ratio,Cash Generating Power Ratio,External Financing Index Ratio,FCFE,Debt Ratio,Cash Flow to Shareholder's Equity,Cash Flow  to Revenue Ratio,Asset Turnover Ratio,Capital Stock Turnover Ratio,Liability Turnover Ratio,Total Liabilites Growth Rate,Total Assets Growth Rate,Sales Growth Rate,EPS Growth,COGS Ratio
2015-09-01,0.03329872937704299,0.033417555359180486,0.04596806712595554,0.05606393935410621,0.05626400262321225,0.07739487289121036,76.59259259259258,4.254079080604552,15.117350081188526,6.793328147780975e-16,-3.900120156203064,0.2491885537332263,0.0918117682853394,0.30513169813705593,0.200355954749483,0.03728090118997572,0.17052391164865094,-3.1680883639545057,-1.2417411715972246,96933000.0,0.6836660257901055,0.06276858674440003,0.200355954749483,0.18607333750868674,0.31328535666875157,0.4582432720811175,0.9764576026408087,0.9938712819999019,0.9834136250906584,0.0,0.15033785730917576
2015-12-01,0.03426710125494827,0.03489203863543827,0.047842755215805485,0.058406455855796936,0.05947162846128412,0.08154543769961087,77.07407407407406,4.355489606609913,14.5641660406413,6.523921324393021e-16,6.763060904057516,0.3578656987718767,0.12672890447699608,0.4265393135151275,0.2785238650046511,0.05237698330643803,0.22906842536084743,24.064838393731634,-0.8772333965535486,133566000.0,0.7044469393909666,0.08927378889119006,0.2785238650046511,0.18805204827084884,0.3205247381214506,0.4550019599752424,0.7428511876116882,0.9237860689776859,0.9848544864266224,0.5882352941176471,0.13807507001581804
2016-03-01,0.01991395118754293,0.022857601976192427,0.03525843001090183,0.04097234152207525,0.04702881240012576,0.07254313432497173,138.70588235294116,5.6676555769124795,18.233585040548693,9.689083347431127e-16,50.77515310586177,0.12940724447859728,0.06374926052053224,0.28046794666486863,0.18575141449821597,0.032764952202106006,0.14648881845395317,0.4431818787191084,1.4236275558654181,95307000.0,1.0574692152356626,0.06741288049450105,0.18575141449821597,0.17639140079022492,0.3629198769581833,0.34319663563662667,1.0019132731404705,1.067771071037015,0.9886120069489053,0.0,0.13855607307608148
2016-06-01,0.020747533615125786,0.028136910591944987,0.041510206810876776,0.0458762517516852,0.06221539474406101,0.0917859796372117,142.94117647058823,6.512076329304729,16.954947014365896,1.0392442232642776e-15,-87.0039011703511,0.1249718150194457,0.06170229101406548,0.27886367027422787,0.1774001646722779,0.03379743157014693,0.14237401035659936,-0.5633986469907813,-2.8662494089540353,96537000.0,1.2111665223783306,0.07473174923028139,0.1774001646722779,0.19051522095587106,0.42126087858113265,0.34781416989128433,1.0277671032146523,1.0837642263046088,1.0152413607637487,-0.2608695652173913,0.1363799912145353
2016-09-01,0.02949381679030959,0.030464607830045027,0.042876148484540494,0.06982334839597927,0.0721215887854501,0.10150453821552963,111.0,7.730158157782295,17.658981227544274,9.894770043786147e-16,-8.931320149652592,0.13129647103813755,0.066646097857556,0.3009742643128479,0.18927883106987584,0.03849437146293652,0.15896228456996805,-0.5763732026723626,-2.8906109400899833,98143000.0,1.367389371555337,0.09113116586605899,0.18927883106987584,0.20337388626795563,0.4814651768026621,0.3521053964716865,0.9351748677994418,1.046343950235299,0.9514691458057913,0.6428571428571428,0.12685894850073953
2016-12-01,0.018349398256862007,0.025331154251879436,0.03970422164444029,0.051871874031033875,0.0716085848713213,0.112239777828707,180.1428571428571,9.672998961942382,19.56155765163153,1.2919162514652736e-15,0.4141813389891303,0.30592718180306544,0.14527081374738218,0.6919529563939797,0.41976630133481174,0.09388203965076197,0.33619326390715243,-4.375488975817923,-1.2020603265231482,207681000.0,1.8268978254715074,0.26539493373956885,0.41976630133481174,0.22365311210601516,0.6322444962724295,0.34607545504590675,1.0033555307765551,0.9569687449513918,0.9833700627580408,-0.43999999999999995,0.16215616870655464
2017-03-01,0.031151452310562534,0.03632807258860222,0.049674196489774086,0.08120348516283762,0.09469754649104441,0.1294873137027238,125.6,10.092211441460304,15.100150671591056,1.191982074766747e-15,-15.69130691898285,0.14358972765644104,0.06843594653066845,0.34211412687426207,0.1938097464726123,0.04218240432859103,0.16051723958279063,1.1981178544577813,-0.005928810992102131,107273000.0,1.606731922264309,0.10995821992119839,0.1938097464726123,0.21764851921186493,0.567351342863125,0.35310890074529505,1.026369664702494,0.9662649231666107,0.9956367523241079,0.0,0.12956715194239596
2017-06-01,0.030483322522080754,0.03646427502062664,0.049558164465389805,0.0726281870112514,0.08687813421615835,0.11807504362818386,133.96,9.56667639917503,14.3124137992401,1.2464700713822854e-15,1.3059065066329754,0.2517987287378849,0.1232154880363795,0.5963506898086337,0.33849616180342,0.07149978899316002,0.2976547799348295,1.5668728256667954,-0.28430368817071666,174785000.0,1.3825548202182618,0.17035216691024205,0.33849616180342,0.21122776876472582,0.5032617386343459,0.36400852340516726,1.0165463229835447,0.9837204752503766,0.9868211241084636,-0.16666666666666663,0.12699764718654033
2017-09-01,0.03520564352230821,0.03487075242481543,0.04727213415425032,0.0802946356135109,0.07953083879138058,0.10781506618912876,131.56666666666666,10.666904762847023,14.89183559230268,1.3166539280148943e-15,-3.9344623366452938,0.13865490121804683,0.06899567164444294,0.3269706687753518,0.1840015822067664,0.03874412368066139,0.1717134430742847,3.8758028120118033,-0.7039433907338155,101502000.0,1.2807319389754042,0.08836496032609771,0.1840015822067664,0.21056407893886372,0.4802402200368047,0.3749732519523178,0.9055446893765146,0.9530796117275544,0.9674640537987172,-6.999999999999999,0.1122419128220553
2017-12-01,-0.005970941583006506,0.033603848987519815,0.045680514521353084,-0.014599646988178349,0.08216532113764428,0.11169417368747737,-836.4,11.503309273535638,15.663469640621932,1.0407312404057868e-14,0.7251275783313111,0.19686856444056122,0.08874077307500741,0.4662160920554067,0.25284121485603583,0.052447705681614276,0.19747259487109237,22.200910045502276,0.3103518950621177,145081000.0,1.445116366525745,0.12824074354884038,0.25284121485603583,0.20743337161814088,0.5071987319071333,0.35097431850869387,1.0633283124128312,0.972670713037058,0.9698615731675021,-1.1851851851851851,0.12015418897317638
