date,ROA(NI),ROA(OI),ROE(NI),ROE(OI),PER (P/E),PBR (P/B),PCR,Interest Coverage Ratio,Cash Flow To Debt Ratio,Cash Flow To Liability Ratio,Operating Cash Flow Per Share,Operating Cash Flow Ratio,Asset Efficiency Ratio,Current Liability Coverage Ratio,Cash Generating Power Ratio,External Financing Index Ratio,Debt Ratio,Cash Flow to Shareholder's Equity,Cash Flow  to Revenue Ratio,Asset Turnover Ratio,Capital Stock Turnover Ratio,Liability Turnover Ratio,Total Liabilites Growth Rate,Total Assets Growth Rate,Sales Growth Rate,EPS Growth,COGS Ratio
2013-03-01,0.003432328623713486,0.005317986348645515,0.03017840203188592,0.046757856727562046,39.774193548387096,1.1950806940236849,1.2154395322118584e-18,2.265717674970344,0.07240611454065662,0.007176186089178858,1.7308202311043759,0.40771976796073184,0.00636000540151493,0.009085060084669517,-1.6191741981215666,1.2451570537375507,7.792398788212614,0.05591970378530555,0.40771976796073184,0.015598962575019108,0.1371522996419719,0.01760078037194902,0.9972219306915959,0.9972725941177165,0.9979959919839679,-0.06999999999999995,0.05136099955377064
2013-06-01,0.0036596802777802847,0.005880339839354475,0.03219011216471177,0.05172276937543123,41.27,1.3367259688478847,1.2793772902756133e-18,1.228215166014209,0.10519148936170213,0.010164585137994933,2.4465096989462176,0.5779559118236473,0.00900897773995306,0.012609555483691417,7.536585365853658,0.2745415318230852,7.795880984509425,0.07924189599272181,0.5779559118236473,0.01558765565962752,0.1371071640095984,0.01758712893155157,0.9678178832996523,0.9680845130052317,1.044127220310611,0.0,0.0479625918503674
2013-09-01,0.0035731206171814886,0.005578422840553609,0.031496389496069616,0.04917275328321871,41.32,1.2961193509978497,1.2622365231705966e-18,0.5563300046913746,0.13955902970663703,0.015996306970214716,3.985232187033785,0.9812610434297405,0.01418159947044968,0.01940189892382901,21.337714863498483,1.9743638345258967,7.814812840243346,0.1250081451073081,0.9812610434297405,0.014452422793512337,0.12739540201287816,0.016301785419202845,0.975414308677155,0.9767332107210887,0.9911512581804774,-0.01960784313725492,0.04780061378220032
2013-12-01,0.003524117460955089,0.005393494724654119,0.031396191991017966,0.04805038360778443,44.509803921568626,1.403697020022455,1.3952897636053981e-18,0.9937114524126255,0.09426920613341351,0.01066400294566926,2.727857318480132,0.6647156419946539,0.009467004309807273,0.01331142413146855,14.553985872855701,2.5864937946335713,7.908951627994012,0.08434108345808383,0.6647156419946539,0.01424218675131375,0.12688295284431136,0.016042954719207626,0.9870504248167107,0.9849971584792724,1.0035149384885764,-0.04672897196261686,0.04760807447691032
2014-03-01,0.003625120982836439,0.005399859184706606,0.031773285959573634,0.0473284259558336,46.48598130841121,1.4833861584754262,1.5298223833769093e-18,-2.5028468684447107,0.0185175528933269,0.002073362437766286,0.5398267082161587,0.1313939506058644,0.0018368055488208173,0.0036044890928455904,-15.111702127659575,5.348820837733193,7.764751882766945,0.016099144892304032,0.1313939506058644,0.013979376830905919,0.12252576939859125,0.015779740453848164,0.9667775563120667,0.9673726635119465,0.9797897408011601,0.049019607843137296,0.04611044306724632
2014-06-01,0.0033923873926275617,0.005413184528612011,0.029876231761122342,0.0476730799949325,51.529411764705884,1.525247200480311,1.6206080965580505e-18,-0.9212346993081426,-0.01929377285886179,-0.0022852909530277107,-0.614797661529117,-0.14677360884538698,-0.0020258006572125135,-0.0011501088081367196,-3.5829646017699117,-11.936708860759493,7.806845534814292,-0.017840913472395883,-0.14677360884538698,0.013802213307615234,0.12155396063872563,0.015570176212230787,0.9748669924649125,0.9767963564274172,0.9924446842957366,-0.019230769230769246,0.04540511147362697
2014-09-01,0.0033038968020991473,0.0052521451197570955,0.029553527515164765,0.0469807093283786,49.87499999999999,1.4813237499316902,1.6438494635488851e-18,0.9526817375886525,0.08159882114569902,0.010359971524178654,2.8821829732677626,0.6773700305810397,0.009201792461763565,0.01327446526728954,-5.786400307337687,1.6508431815163989,7.945051642166239,0.0823105087709711,0.6773700305810397,0.01358458751691506,0.12151483687633204,0.015294404913798736,0.968021689960603,0.9701864973876141,0.9906442127773323,0.0,0.04600647598488937
2014-12-01,0.0031899855081483327,0.004926044139394424,0.029050749749004113,0.04486079174358476,52.71153846153846,1.5497150198097829,1.7551014992933748e-18,-2.681832849306228,0.01557547718586736,0.0019075926181159376,0.5470480409379057,0.1276396685378241,0.0016981249499897757,0.0035198603892408666,1.861598440545809,11.092146596858639,8.106859474689898,0.015464585290021699,0.1276396685378241,0.013304053273113615,0.12115814360203388,0.014945139234286331,0.9703574102920777,0.9708920279651063,1.0085823410469557,-0.018867924528301903,0.04468502183017019
2015-03-01,0.0031425929240155442,0.004697488745420049,0.028747552167779158,0.04297129982523004,51.32075471698113,1.4777840011791707,1.703590572670489e-18,-2.222433977674925,0.013721275342077123,0.0016249152815044584,0.4873653205177893,0.1130083127387104,0.001447284600604119,0.0031345251417938397,11.32882882882883,16.155467196819085,8.147717462256006,0.013239350613800509,0.1130083127387104,0.012806886197393506,0.117153776505022,0.014378723494982792,1.011655351415512,1.0099499191278478,0.9991469875190805,0.019230769230769246,0.043900247135475176
2015-06-01,0.0031169051566966965,0.0049685665084094836,0.02812624556839875,0.044835217856468566,54.07692307692308,1.5195559797772138,1.7624089367470243e-18,-1.0897386870618229,-0.009184928039343314,-0.00107912658069821,-0.3204642947262175,-0.07412229505252761,-0.0009595395140231673,0.00017330894170450084,15.575471698113208,8.02725620835857,8.023773311795926,-0.00865866705825589,-0.07412229505252761,0.012945356229771065,0.11681596005789927,0.014558731349771004,0.9824809821592554,0.982499507498865,0.9742378515505402,-0.018867924528301903,0.0429199964083685
2015-09-01,0.00310803904606099,0.005009521688607949,0.028050483655684563,0.04521162835041718,48.443396226415096,1.356451044356148,1.5949607415710799e-18,0.6931890012642224,0.10221077971005106,0.012160758067892696,3.6944476959694095,0.8282815028648909,0.01081332636694047,0.015174773387912661,-8.262216404886562,1.2186724401964408,8.025138757904175,0.09759177089614157,0.8282815028648909,0.013055134431396734,0.11782439974644796,0.014681914332060553,0.9770859882502866,0.9796563274767961,1.009805220617464,0.009523809523809532,0.04321392643135197
2015-12-01,0.0029105542975287977,0.004562460282653253,0.026834664837460224,0.042064871499966475,51.77142857142857,1.4400881938821297,1.7363546948454844e-18,-0.8162530024019216,-0.019530310319942266,-0.002445190278721574,-0.7586878224471917,-0.17212137273088646,-0.002179978877084322,-0.0014678128067754123,-2.270979020979021,-10.370798049781884,8.219778122759696,-0.020098921559020273,-0.17212137273088646,0.012665358418287432,0.1167717944618368,0.014206197870293856,0.9655069008007618,0.9667150123676307,0.9634468085106384,0.050000000000000044,0.046596881763173004
2016-03-01,0.0027498645346969632,0.004370040374608881,0.025616612259702576,0.04070950711320679,48.36,1.2365536815379035,1.4933777221024163e-18,-17.341201716738198,0.025951344520115143,0.0035827702313837102,1.1651594853911775,0.2516595744680851,0.0031981708669022303,0.005462506764877459,-219.03703703703704,7.511836320595198,8.315590617821304,0.029792850521903842,0.2516595744680851,0.01270832184176571,0.1183855237174062,0.014236574304619071,0.9787166172370735,0.9787993552946034,0.9968186638388123,-0.01960784313725492,0.05553191489361702
2016-06-01,0.0027381453339579247,0.004352026084632139,0.025525384755823766,0.040570213311885366,46.40196078431372,1.1833375785178204,1.5285578775974193e-18,-0.6114829689126878,-0.03007047190347932,-0.004349053169324322,-1.447630701217707,-0.31113467656415694,-0.0038825238787128123,-0.0037805506128664877,-5.54421768707483,-3.7895023858214043,8.322143875733367,-0.0361934461983312,-0.31113467656415694,0.012478595833763402,0.11632726572946941,0.01397804069077313,0.9703181399244951,0.9727674443032474,0.9879311067342749,-0.019230769230769246,0.05993637327677625
2016-09-01,0.00269962165134667,0.004250500997876551,0.025706272860098647,0.04047401916080762,42.57692307692307,1.094939899391051,1.3286609277476347e-18,-0.9167129372570794,-0.009406086291129554,-0.0013790397464914167,-0.4752746163302534,-0.1004483929095252,-0.001234215734937625,-0.0003552814577461133,2.1401785714285713,-17.088443888193574,8.52217613430216,-0.011752419615803254,-0.1004483929095252,0.012287063029961012,0.11699957834456114,0.013728838327294402,1.0049421317308216,1.0062219090572324,1.026895602031156,0.07216494845360831,0.06432552487113942
2016-12-01,0.0025242019257919867,0.003917901264950534,0.024299615455592852,0.03771627505648464,56.81443298969072,1.3888477533329675,1.7467687282514454e-18,-5.332863187588153,0.01891977716532655,0.0027902114802228007,0.9551139962001267,0.20767708064377313,0.0025003691489885317,0.0045813530915743235,-0.2637735024048972,1.9910899295482802,8.626652767871839,0.024070185588811802,0.20767708064377313,0.012039697116493059,0.1159019835708265,0.013435336588772781,0.9888758343695954,0.9890093279031587,0.9624751491053678,-0.03960396039603964,0.07126258714175059
2017-03-01,0.00268143909192832,0.0040265141189323025,0.02584337914652154,0.03880704630868837,55.1089108910891,1.3767596066946846,1.7176021385411837e-18,1.1784643071385723,0.0512266637553223,0.007511398882266341,2.6230882881443915,0.5441517561298873,0.00673203645896317,0.010132108589287814,0.499733739064283,1.1456081595372203,8.637876625396935,0.06488253682916109,0.5441517561298873,0.012371615791232058,0.11923610665270706,0.013803867758672442,1.014117604767366,1.010716925159682,0.9871616648949219,-0.06481481481481487,0.07823889993373095
