date,ROA(NI),ROA(OI),ROA(EBITDA),ROE(NI),ROE(OI),ROE(EBITDA),PER (P/E),PBR (P/B),EV/EBITDA,PCR,Interest Coverage Ratio,Cash Flow To Debt Ratio,Cash Flow To Liability Ratio,Operating Cash Flow Per Share,Operating Cash Flow Ratio,Asset Efficiency Ratio,Current Liability Coverage Ratio,Cash Generating Power Ratio,External Financing Index Ratio,Debt Ratio,Cash Flow to Shareholder's Equity,Cash Flow  to Revenue Ratio,Asset Turnover Ratio,Capital Stock Turnover Ratio,Liability Turnover Ratio,Total Liabilites Growth Rate,Total Assets Growth Rate,Sales Growth Rate,EPS Growth,COGS Ratio
2013-03-01,0.0074001559674127665,0.011291045147588313,0.011880071014949643,0.05741873189571935,0.0876086256839395,0.09217895075635661,27.23560209424084,1.5619796099130994,82.36173184357541,3.1255700169694543e-17,0.4629251700680272,0.8946999766518795,0.03649419540394084,4.10751572475357,0.6172680412371134,0.03179080455955798,0.0429366010048305,6.483925549915398,-0.0407098121085595,6.759124557450917,0.24666881235918892,0.6172680412371134,0.051502430768720235,0.3996137753459929,0.0591221203203718,1.023251508034731,1.0363244005399224,1.027134348113832,0.0,0.6303157216494846
2013-06-01,0.007643169723074807,0.0116753931202875,0.012268620016679133,0.06490946261682243,0.09915303738317757,0.1041910046728972,30.42931937172775,1.9741661477803738,79.8353188507358,3.513273914127127e-17,1.3899692937563972,0.3772745653052972,0.018184121539316096,2.0055329494231673,0.3087359364659166,0.01604291867633025,0.02231147794231236,-10.542372881355933,0.3654876741693462,7.492479556074766,0.13624415887850466,0.3087359364659166,0.05196323712740622,0.4412967289719626,0.058898623035169614,0.9748907467224017,0.9699377908237296,1.0268433571185864,0.2649006622516556,0.6269027134348114
2013-09-01,0.005854000233492887,0.008914424856985606,0.009506496105672209,0.04789193614408514,0.0729294583162778,0.07777322963569382,41.05960264900662,1.9639847182425978,102.77982456140352,4.755251091860873e-17,1.4084321475625823,0.29497274379164146,0.013879916397491926,1.5732548823666233,0.24821610601427116,0.012183325272269384,0.017224309909833185,4.092436974789916,0.41546885694729635,7.181061536362396,0.09967253376995497,0.24821610601427116,0.04908354041928651,0.40155546459271385,0.05591867756032681,0.9866244247190379,0.9885497127123744,1.0146526460955008,0.034246575342465786,0.6580020387359837
2013-12-01,0.0055643944702284285,0.008474366689473814,0.009150337573264528,0.04616963064295486,0.07031463748290014,0.0759233926128591,45.75342465753425,2.1223483994528043,106.99459459459459,5.326293695342698e-17,0.3789163287873203,0.6918521543802328,0.031756446427399776,3.646916482598568,0.5840372349594898,0.02792913846686506,0.039719469363101494,-18.92737430167598,0.0008854781582054309,7.297332421340629,0.2317373461012312,0.5840372349594898,0.04782081825451128,0.39678522571819425,0.05437400995435245,0.9913674546535831,0.9839000097329916,1.0285460992907802,-0.09316770186335412,0.6491984140665402
2014-03-01,0.005937124874282192,0.008954352269409207,0.009603218375888135,0.04669558560857361,0.07042612911457004,0.07552947180403165,39.15527950310559,1.8286707221229905,102.44763513513513,4.7346793257571495e-17,1.2502831257078142,0.328719723183391,0.015007062146892656,1.7757751285925085,0.28634751773049644,0.013098984524543361,0.019140919366993216,-2.990740740740741,-0.019814241486068113,6.86501658586374,0.103023730543506,0.28634751773049644,0.045745060506764426,0.3597856596070426,0.0524085637823372,0.9755513856027848,0.9641904732112833,0.9660842754367934,-0.10055865921787706,0.6358156028368794
2014-06-01,0.006334508997348891,0.009681632270022132,0.01031508316975702,0.04613281694953867,0.0705091696092949,0.07512245130424877,34.770949720670394,1.6042414944754528,95.23805913570887,4.244723128522442e-17,1.7510608203677511,0.3080203045685279,0.013751779028763608,1.6760245625432264,0.25984926344638576,0.011863518702442306,0.017584674714956405,5.437275985663082,0.15359261700725116,6.282777081672172,0.086399362114136,0.25984926344638576,0.04565538706978126,0.332498006606675,0.052922139729678276,1.008345521023766,1.0048564670381053,1.0177824267782427,0.1474358974358974,0.6272696128811237
2014-09-01,0.005548002797576481,0.008439879609910965,0.009044973399448344,0.03954517448047947,0.06015795664594186,0.06447095726208481,37.333333333333336,1.472053270598779,108.24239791485665,4.570285268291879e-17,1.4533152909336942,0.3170250109697236,0.013208409506398537,1.6011222260141917,0.25191771269177127,0.011355331504954696,0.017815964523281595,3.8844086021505375,-0.3619377162629758,6.127821654623872,0.08093877779644877,0.25191771269177127,0.04507555814008314,0.321290539405142,0.05243144424131627,1.0786827055807533,1.062504696619269,1.0402611534276387,-0.006369426751592362,0.6478382147838215
2014-12-01,0.005869730393180091,0.008975761269798859,0.009635375353811985,0.03831689104485747,0.05859268545266256,0.0628985665231373,38.917197452229296,1.5026197416471359,99.7478336221837,4.815628242352249e-17,0.8464566929133859,0.3735327527451723,0.019453756655492014,2.186372461237046,0.357816467174465,0.01647365300959363,0.02550844125671667,0.961969770843491,0.08869741510390268,5.527879217310732,0.10753801711451463,0.357816467174465,0.046039393155042706,0.30053959775440126,0.05436797475843029,0.9869214900159589,0.9865404733074686,1.0551090700344432,0.03289473684210529,0.6182444686253173
2015-03-01,0.005461240022734574,0.008344247576214363,0.009027932224611,0.03557439502065783,0.05435424156248323,0.058807748028116114,42.118421052631575,1.5021908096796694,106.78649635036497,5.5202241664218344e-17,1.2710163111668757,0.23241006049028973,0.014207309952901795,1.6693116490512365,0.2793723689246077,0.012026260080229981,0.018991631994764155,-4.9324324324324325,0.22054794520547946,5.513977571497558,0.07833878843161453,0.2793723689246077,0.04304742135567252,0.28040993722165586,0.050854384804016974,1.0426224851110457,1.050354296986529,0.9884622659353131,0.14285714285714282,0.6280137772675086
2015-06-01,0.004957562229086095,0.007561796489042317,0.00820204012770265,0.033670231519567516,0.051357386296862144,0.05570572335174521,46.766917293233085,1.5777411211658243,118.64767932489451,6.286687775706634e-17,0.8168224299065421,0.3028571428571429,0.01666954130860465,1.9030652903130154,0.3107622470209949,0.014215139166471998,0.021352313167259787,-1.310207336523126,-0.8575776019476568,5.79169115054648,0.09654483488071454,0.3107622470209949,0.04574281239996193,0.31067105417792923,0.05364081856274667,0.9836626746506986,0.9840449533864033,1.0490079365079366,0.007575757575757582,0.6169850576886703
2015-09-01,0.004827380698991103,0.007356008684176919,0.00792643991315823,0.03286004056795132,0.050072442770211535,0.053955375253549695,44.04545454545455,1.4446046305418718,122.37916219119226,5.979199420369374e-17,0.7854545454545454,0.3328009582751048,0.016636726546906188,1.944091338472483,0.33075396825396824,0.014192669533012642,0.020966909445432128,4.0559610705596105,-0.4433113377324535,5.807012460156477,0.09660967835410027,0.33075396825396824,0.04291005065769869,0.2920892494929006,0.05029940119760479,0.9965389664637785,0.9932265593289136,0.9475465313028765,-0.23255813953488366,0.645436507936508
2015-12-01,0.006173048301988906,0.009394872141794073,0.009944527127587607,0.041224305398689855,0.0627400045177321,0.06641066184775243,34.825581395348834,1.456752575107296,96.85884353741497,1.9361188503861784e-17,5.29047619047619,0.4035405351036009,0.019950670326610177,2.3290158688877844,0.37713855987967665,0.016963198484643484,0.024797160822083508,2.4139590854392297,-0.17996011964107678,5.6781115879828326,0.11328213236955048,0.37713855987967665,0.04497869029901231,0.3003727128981251,0.05290010741138561,0.9332033969093694,0.9255670522674264,0.9757842597688497,-0.017142857142857158,0.6113931190073322
2016-03-01,0.00572139692876039,0.008742544965014167,0.00925128750997918,0.036511662754108186,0.05579141901003946,0.05903801008940612,36.08,1.3206008051545877,105.1751269035533,5.156730838199107e-17,1.8616666666666666,0.2670545746388443,0.012353241449719244,1.5892613218451193,0.24417538066409833,0.010417481959206675,0.01591449940506544,-1.4436008676789587,-0.5755071374906086,5.381599320713251,0.06648019579441586,0.24417538066409833,0.042663932501604496,0.27226412267119526,0.050591674787693164,0.9074256550190758,0.9043011742056948,1.0025749494206364,0.31578947368421045,0.6160337552742616
2016-06-01,0.0038786300225781565,0.005902878538011282,0.006370012810803542,0.024301552106430157,0.03698447893569845,0.03991130820399113,54.25563909774436,1.3179296,152.87444444444444,7.993072292589123e-17,0.8553846153846154,0.3040527051307646,0.012826667340424636,1.8489606728614336,0.2801177119735148,0.010779477234281994,0.01635844992529059,23.075757575757574,-0.3381483913328956,5.26549889135255,0.06753880266075388,0.2801177119735148,0.0384819551692654,0.24110864745011087,0.04579027598810817,0.9787414685614428,0.9804720300344897,0.9511896431070679,-0.13636363636363633,0.6619459260621666
2016-09-01,0.0043649939972658066,0.0066828127493910525,0.007133885261032193,0.02760588106210226,0.04226464779460171,0.04511740179942945,46.675324675324674,1.288757766951942,135.04961089494162,6.993348508315844e-17,1.511773940345369,0.21960104076322637,0.010435556727884203,1.54949953368142,0.22148355493351995,0.008785504611348985,0.013528364091098564,0.8423153692614771,0.3522906793048973,5.324380074610489,0.055562870309414085,0.22148355493351995,0.039666622716011686,0.25086679833223613,0.04711662105575522,1.1095603501102098,1.1100147127924265,0.9598656591099916,-0.16756756756756758,0.6527291812456263
