date,ROA(NI),ROA(OI),ROA(EBITDA),ROE(NI),ROE(OI),ROE(EBITDA),PER (P/E),PBR (P/B),EV/EBITDA,PCR,Interest Coverage Ratio,Cash Flow To Debt Ratio,Cash Flow To Liability Ratio,Operating Cash Flow Per Share,Operating Cash Flow Ratio,Asset Efficiency Ratio,Current Liability Coverage Ratio,Cash Generating Power Ratio,External Financing Index Ratio,FCFE,Debt Ratio,Cash Flow to Shareholder's Equity,Cash Flow  to Revenue Ratio,Asset Turnover Ratio,Capital Stock Turnover Ratio,Liability Turnover Ratio,Total Liabilites Growth Rate,Total Assets Growth Rate,Sales Growth Rate,EPS Growth,COGS Ratio
2017-09-01,inf,inf,inf,inf,inf,inf,68.20547945205479,inf,0.0,1.0776878815452459e-17,-1.3216341468049813,,,0.0,0.0,,-inf,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,1.0442123045694498,11.166666666666666,0.3037369141426448
2017-12-01,0.004207906708391937,0.010532963229826655,0.010532963229826655,0.007210312317480199,0.01804839312718701,0.01804839312718701,716.6666666666667,1.641533921081893,85.12991083486402,3.685690525731293e-18,0.32125949983848756,0.5150773682923395,0.1775163453501818,3.31787851062137,0.7889092778492968,0.07391863040432213,0.7174094287406881,-2.1582324944229483,-1.070876950411625,9946639000.0,0.7135157060803639,0.1266607004933407,0.7889092778492968,0.0936972507229692,0.16055166804304757,0.22501490391153983,inf,inf,1.0584364246047873,-0.88,0.34323417046831445
2018-03-01,inf,inf,inf,inf,inf,inf,80.16,inf,0.0,1.2855747947455996e-17,-1.2401576789201731,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.4744106562945232,-0.7848814696897991,0.31319222876676217
2018-12-01,0.022808056872037658,0.0,0.04819223036047643,0.043158502615666346,0.0,0.09119165704191791,18.676590801531642,0.8060536929596335,19.460420934997362,7.208545268496703e-18,-0.0,0.17149088926250713,0.07206003093196856,3.452148051948082,0.20523138832997906,0.0338754847048685,0.2171961325966849,-6.5294117647061976,-1.1997880233174292,4321044195.0996,0.8895475236089414,0.06410082206671634,0.20523138832997906,0.16505995978744817,0.31233439771723676,0.3511160330704756,inf,inf,2.1275281765508187,3.4698076923076924,0.3998042307901463
2019-03-01,inf,inf,inf,inf,inf,inf,85.15384615384615,inf,0.0,1.3726929527725009e-17,-1.1908525985264111,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.5117033245196552,-0.4552121529596647,0.30047050259361496
2019-06-01,0.00949839431905544,0.0,0.05870912298159119,0.018632548400262343,0.0,0.11516689439781379,45.33263488737559,1.6886214762546212,15.994298921417574,3.155241313921337e-18,-0.0,0.14420503515536384,0.05884094989542264,1.4455332098542362,0.1867912333274578,0.028757519562169247,0.3629743871706758,-16.302564102564777,-1.0094369298521522,3583276000.0,0.9587244689723708,0.05641225844231895,0.1867912333274578,0.15395540277714934,0.30200699164197076,0.31500916208562335,inf,inf,1.753037506494446,0.1499999999999999,0.38268993477877905
2019-09-01,inf,inf,inf,inf,inf,inf,55.81927710843373,inf,0.0,9.420264968931736e-18,-1.281426953567384,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.5138752028052546,-0.47234583598219954,0.31589563231101825
2019-12-01,0.016472111836503107,0.0,0.06266853533919947,0.03150982454949628,0.0,0.11987986561237976,31.9135410044501,1.8974358494878096,14.578060863411205,9.928067922033877e-18,0.0,0.21616630362723835,0.08512344297754958,2.049328021966515,0.23891767415083626,0.040492832812943774,0.22398312153476418,1.6982886904762147,-0.21401971522454016,5129213483.1461,0.9099670818203413,0.07745953100078101,0.23891767415083626,0.16948445926766967,0.324210133369532,0.3562877601253078,inf,inf,2.088905602271652,1.1256756756756756,0.3995394358088639
2020-03-01,inf,inf,inf,inf,inf,inf,59.08108108108108,inf,0.0,9.409146929189758e-18,-1.2590610367073376,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.5324153026775308,-0.9111196521655577,0.3075354588364189
2020-06-01,0.08013365682660054,0.0,0.04721159740629776,0.14661000884620326,0.0,0.08637684822444085,6.1315429147949745,1.8223150836722297,18.260790051207017,1.584415564650016e-18,-0.0,0.18387897522364405,0.07501958611201381,1.7373664034688323,0.22852153667054767,0.033897719717835756,0.41402997659699037,0.5949386270647041,-1.3759551706571478,4381506255.0562,0.8266934158978899,0.06201819790218661,0.22852153667054767,0.1483349018727501,0.27138885378491173,0.328282345747426,inf,inf,1.671640657118638,8.149230769230767,0.37438882421420006
2020-09-01,inf,inf,inf,inf,inf,inf,55.13186813186813,inf,0.0,8.755299381546199e-18,-1.28278607157054,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.4959187529823442,-0.6966666666666667,0.3214901676198262
2020-12-01,0.02648237564284997,0.0,0.048022771525115755,0.0481420929826505,0.0,0.08730020158410155,16.19666666666667,1.5849162761679132,18.29345454545461,3.639106242820791e-18,-0.0,0.17039079125556286,0.06856486707407287,1.7143747984900926,0.1867875510312291,0.03076076801508801,0.18303200332502123,-1.721055202735759,-0.30740845869996186,4349382716.0494,0.8155743559626043,0.05591974730559856,0.1867875510312291,0.16468318067912943,0.299376200377772,0.36707407263243946,inf,inf,2.1735528915617346,3.0,0.39324532103281923
2021-03-01,inf,inf,inf,inf,inf,inf,65.94666666666667,inf,0.0,1.0484851585427065e-17,-1.3384418184610984,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.5191166080184588,-0.7162208180407885,0.30204817342732543
2021-06-01,0.024419013953179355,0.0,0.04883802790635871,0.04328591542176617,0.0,0.08657183084353234,19.925082295962767,1.7484847116408075,18.703550144092247,3.858046525609321e-18,0.0,0.26506833911155453,0.09710562893075897,2.2596212921113206,0.2775656071531578,0.04232511622958039,0.45809593979377006,-1.1316356051542302,-1.3916700054730238,6594418100.0,0.7726311926240201,0.07502683789127786,0.2775656071531578,0.15248689008586655,0.2703030777508354,0.34984748264282284,inf,inf,1.616101475846059,1.4246788990825687,0.36463801557542475
2021-09-01,inf,inf,inf,inf,inf,inf,44.22935779816513,inf,0.0,7.032715184782205e-18,-1.310315181212544,,,0.0,0.0,,-inf,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.5501426025653587,-0.6512,0.2990118688506104
2021-12-01,0.02866718783786064,0.0,0.05387468604979929,0.050188552874885925,0.0,0.09432011764534542,16.032,1.6311706550338798,17.00277863538138,3.584014051368959e-18,0.0,0.3041873220124477,0.11263205170764168,2.5794491323861326,0.28238519533927586,0.04796992731325193,0.2708617046255012,15.631436314362569,-0.07628294036060973,6554545454.5455,0.745635619749276,0.0839824696786599,0.28238519533927586,0.16987408725736403,0.297403939954281,0.39885962000351416,inf,inf,2.057475050823438,2.4722222222222223,0.3684030157642242
2022-03-01,inf,inf,inf,inf,inf,inf,57.044444444444444,inf,0.0,9.11472674958192e-18,-1.1936282989576403,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,0.0,0.0,0.9868645268745342,0.8,0.2864815609299489
2022-06-01,0.009644905559086505,0.01259994816702559,0.01259994816702559,0.0164787382257545,0.02152755630736889,0.02152755630736889,100.06,1.6493438472401523,74.87094594098245,6.356482789401647e-18,1.9490931941836385,0.234851887479753,0.07410652293635828,1.5927306523824751,0.34853922971682105,0.030732441579918425,0.16971939726319152,-1.1809200370484483,-1.4653594771241916,3984375000.0,0.7085436387050794,0.052507705413108716,0.34853922971682105,0.08817498565337316,0.15065077597081353,0.21262032109432236,inf,inf,0.8639004155649045,-0.40476190476190477,0.3025506401531189
2022-09-01,inf,inf,inf,inf,inf,inf,45.261904761904766,inf,0.0,7.252951173705571e-18,-2.0606940300256293,,,0.0,0.0,,,,,0.0,,,0.0,inf,inf,inf,,,,,0.2915969587208551
