date,ROA(NI),ROA(OI),ROA(EBITDA),ROE(NI),ROE(OI),ROE(EBITDA),PER (P/E),PBR (P/B),EV/EBITDA,PCR,Interest Coverage Ratio,Cash Flow To Debt Ratio,Cash Flow To Liability Ratio,Operating Cash Flow Per Share,Operating Cash Flow Ratio,Asset Efficiency Ratio,Current Liability Coverage Ratio,Cash Generating Power Ratio,External Financing Index Ratio,FCFE,Debt Ratio,Cash Flow to Shareholder's Equity,Cash Flow  to Revenue Ratio,Asset Turnover Ratio,Capital Stock Turnover Ratio,Liability Turnover Ratio,Total Liabilites Growth Rate,Total Assets Growth Rate,Sales Growth Rate,EPS Growth
2013-03-01,0.02658170818047242,0.039068031151444936,0.04466756774152024,0.061522419186652764,0.09042157008788917,0.10338149858483539,50.626666666666665,3.0995918367346937,20.56772334293948,1.3857664233576642e-16,-0.555352241537054,-0.21922365988909426,-0.06720308250226655,-1.082116788321168,-0.18969929622520793,-0.0381669562978696,-0.16338028169014085,0.624868282402529,0.6138279932546374,-506000000.0,1.314464471920155,-0.08833606435274839,-0.18969929622520793,0.20119714230546437,0.46566363771786085,0.3542611060743427,0.9813167259786477,0.9809950751357495,1.0123056994818653,0.056338028169014134
2013-06-01,0.02449804268215684,0.036431367596918805,0.042113903270614976,0.05667543090855974,0.08428279287174993,0.0974291557113643,56.22535211267606,3.2129593923458954,21.90104947526237,1.5156922749812057e-16,-12.020833333333334,0.15908250092489826,0.047820284697508895,0.7803992740471869,0.13924870466321243,0.02714989266321505,0.1926450742240216,inf,-0.5302325581395348,533000000.0,1.3134677183756938,0.06281040023371312,0.13924870466321243,0.19497411289304206,0.45106631609699094,0.34341637010676157,0.9123376623376623,0.9329641847313855,1.053206002728513,0.5434782608695651
2013-09-01,0.014903393025447692,0.023798303487276153,0.029040999057492932,0.03553370786516854,0.056741573033707866,0.06924157303370787,94.67391304347825,3.357998595505618,30.024340770791074,2.3194750689717617e-16,1.02020202020202,0.28135722455203965,0.07487824675324675,1.3442622950819672,0.25170532060027284,0.04347313854853911,0.2257898792704855,0.8434285714285714,0.32791327913279134,834000000.0,1.3842696629213482,0.10365168539325843,0.25170532060027284,0.17271442035815268,0.4117977528089888,0.2974837662337662,1.0945030538589673,0.9997644287396937,0.9412520064205457,-0.16363636363636366
2013-12-01,0.01784452296819788,0.028798586572438164,0.03421672555948174,0.03799373040752351,0.0613166144200627,0.0728526645768025,87.92727272727272,3.329108463949843,25.261617900172116,2.230061561873141e-16,1.3180592991913747,0.29225486455551314,0.08506385341476957,1.395264116575592,0.24590690208667737,0.045111896348645465,0.24048306642163297,5.674074074074074,-0.6318537859007833,876000000.0,1.129153605015674,0.09605015673981192,0.24590690208667737,0.18345111896348645,0.39059561128526643,0.3459189339255969,1.05519100070307,1.0243107920612897,0.9543504901960784,-0.32098765432098764
2014-03-01,0.026723773903601377,0.04059841949689329,0.046449900464499004,0.05507895064030834,0.08367524555514112,0.09573542210617929,60.86419753086419,3.3589953997264703,19.736363636363638,1.6659908083265748e-16,-0.7315217391304348,-0.14509354715540282,-0.0445277712678697,-0.6934306569343066,-0.11642156862745098,-0.022923327501960546,-0.07239006880047862,0.41575492341356673,0.3105263157894737,-282000000.0,1.0610468730573168,-0.047246052467984585,-0.11642156862745098,0.19689931833262955,0.40581872435658334,0.38247011952191234,0.9117521367521367,0.9425176256538549,0.9890909090909091,0.03846153846153849
2014-06-01,0.02450534455310439,0.0367864453036161,0.04213099840800546,0.05238210986874089,0.07863393291200778,0.0900583373845406,66.43589743589743,3.4576057365094797,21.02968960863698,1.797900945441929e-16,5.725663716814159,0.19863013698630136,0.06816239316239316,1.162112932604736,0.19333333333333333,0.03627473277234478,0.22322946175637393,1.0633333333333332,0.19905956112852666,741000000.0,1.1375789985415654,0.07754010695187166,0.19333333333333333,0.18762792813281784,0.40106951871657753,0.3525641025641026,0.9293089753772835,0.9778173125034747,1.0506208213944603,0.4181818181818181
2014-09-01,0.01651192527936843,0.024740090065046978,0.030188469450158448,0.037523689197725835,0.05622236260265319,0.068603916614024,95.16363636363636,3.5973417561591914,28.246777163904234,2.435778108711839e-16,0.9118852459016393,0.2613199171352471,0.08766878474980143,1.6231617647058822,0.28112066220948745,0.049091010174014564,0.251089588377724,1.1482444733420025,0.13703284258210646,965000000.0,1.2725205306380292,0.11156032849020847,0.28112066220948745,0.17462611886362372,0.3968414403032217,0.3118546465448769,0.9448405253283302,1.0109031641656832,0.967652495378928,0.018518518518518535
2014-12-01,0.01652335187995279,0.03012420614848536,0.03568819198561232,0.04121687929342493,0.07514369830365905,0.08902285153511846,106.0,4.373447357353148,24.937007874015748,2.6724560543455424e-16,0.9162393162393162,0.29038004750593827,0.09174484052532833,1.7944954128440367,0.30129390018484287,0.05496543584555724,0.30949143323361433,-1.8593155893536122,-1.1226993865030674,1060000000.0,1.4944623580541148,0.1371092107107809,0.30129390018484287,0.18243129320519305,0.45506799383148744,0.30450281425891185,1.0691003911342893,1.0569680408696684,1.009642301710731,-0.3932584269662921
2015-03-01,0.02863252940477605,0.04366163716288464,0.04966139954853273,0.07023167710913594,0.1070960221477488,0.12181261838845986,63.022471910112365,4.405144980329302,18.81578947368421,1.784958486747264e-16,-0.6645569620253164,-0.13662486938349008,-0.052452111122254536,-0.9703153988868275,-0.16267496111975116,-0.031068076511821315,-0.13476207773338175,0.8009188361408882,-0.12237093690248566,-433000000.0,1.4528631793676234,-0.07620574092962261,-0.16267496111975116,0.19098253534513485,0.468454028850357,0.3224350616788687,0.9459254340195428,0.9667489806466433,0.9968992248062015,0.141025641025641
2015-06-01,0.024062482053638087,0.03612243725951875,0.0420375581462126,0.060972060535506405,0.09153084982537835,0.10651920838183934,72.6923076923077,4.414217112922002,22.51775956284153,2.030293264582662e-16,5.566371681415929,0.16601307189542483,0.060240963855421686,1.1869158878504673,0.19689922480620156,0.0364670074082582,0.24937655860349128,-2.470817120622568,-0.878740157480315,720000000.0,1.533905704307334,0.09240395809080326,0.19689922480620156,0.18520645494745305,0.46929569266589055,0.3059482022578503,0.9261927774360776,0.9824531708417964,1.0353130016051364,0.278688524590164
