date,ROA(NI),ROA(EBITDA),ROE(NI),ROE(EBITDA),PER (P/E),PBR (P/B),EV/EBITDA,PCR,Cash Flow To Debt Ratio,Cash Flow To Liability Ratio,Operating Cash Flow Per Share,Operating Cash Flow Ratio,Asset Efficiency Ratio,Current Liability Coverage Ratio,Cash Generating Power Ratio,External Financing Index Ratio,Debt Ratio,Cash Flow to Shareholder's Equity,Cash Flow  to Revenue Ratio,Asset Turnover Ratio,Capital Stock Turnover Ratio,Liability Turnover Ratio,Total Liabilites Growth Rate,Total Assets Growth Rate,Sales Growth Rate,EPS Growth,COGS Ratio
2015-09-01,,,,,46.72463768115942,,,inf,,,,,,,,,,,,,,,,,,-3.3000000000000003,
2015-12-01,,,,,-134.96666666666667,,,inf,,,,,,,,,,,,,,,,,,-0.6590909090909092,
2016-03-01,,,,,-40.534090909090914,,,inf,,,,,,,,,,,,,,,,,,-0.5686274509803922,
2016-06-01,,,,,-14.995098039215685,,,inf,,,,,,,,,,,,,,,,,,3.340425531914894,
2016-09-01,,,,,-56.19148936170213,,,inf,,,,,,,,,,,,,,,,,,5.7142857142857135,
2016-12-01,,,,,-284.71428571428567,,,inf,,,,,,,,,,,,,,,,,,-0.5625,
2017-03-01,,,,,-135.5625,,,inf,,,,,,,,,,,,,,,,,,-0.2727272727272727,
2017-06-01,,,,,-91.63636363636364,,,inf,,,,,,,,,,,,,,,,,,-0.8860103626943006,
2017-09-01,,,,,-11.367875647668395,,,inf,,,,,,,,,,,,,,,,,,6.4230769230769225,
2018-03-01,,,,,-69.15384615384615,,,inf,,,,,,,,,,,,,,,,,,0.040000000000000036,
2018-06-01,,,,,-73.0,,,inf,,,,,,,,,,,,,,,,,,0.6666666666666667,
2018-09-01,,,,,-129.53333333333333,,,inf,,,,,,,,,,,,,,,,,,-0.8846153846153847,
2018-12-01,,,,,-10.553846153846154,,,inf,,,,,,,,,,,,,,,,,,4.6521739130434785,
2019-03-01,,,,,-79.6086956521739,,,inf,,,,,,,,,,,,,,,,,,-0.640625,
2019-06-01,,,,,-25.296875,,,inf,,,,,,,,,,,,,,,,,,-4.36842105263158,
2019-09-01,,,,,84.73684210526316,,,inf,,,,,,,,,,,,,,,0.0,,0.0,-0.1739130434782609,
2019-12-01,inf,inf,0.013504823151125401,0.12636655948553055,79.65217391304347,1.0756885222983363,-3.0127226463104324,4.836399734268897e-16,0.03445123321123321,0.025748822777879175,1.5451378095238095,0.289390358974359,inf,0.17903274111675127,0.21287023427030338,3.9936216045331014,3.5234726688102893,0.0907252733118971,0.289390358974359,inf,0.3135048231511254,0.08897609052746852,0.9621564667661779,,1.0472610096670247,-1.2323232323232323,0.6082051282051282
2020-03-01,-inf,inf,-0.061501868841318384,0.1128100577641862,-9.757575757575758,0.6001091444516521,-4.798192771084337,1.6257373565660857e-15,0.013440168440753304,0.010088682061638423,0.6284585635359116,0.12341568206229861,inf,0.07422480620155039,0.2715028355387524,3.969538729329852,3.869860686374448,0.03904179408766565,0.12341568206229861,inf,0.3163438668025824,0.08174554394591273,0.9907785993910396,,1.0965842167255595,-0.5395348837209302,0.6541353383458647
2020-06-01,-inf,inf,-0.15582870737509913,0.011895321173671689,-4.134883720930233,0.6443335853788983,-58.4,-2.683184193298535e-16,0.027136764875794337,0.02043224880382775,1.2849051017811706,0.27664157832744407,inf,0.15482445616348056,0.9495211131859527,0.5348856616484019,4.557890563045202,0.09312795400475812,0.27664157832744407,inf,0.33663758921490883,0.07385819921705089,1.0383920505871724,,0.956081081081081,3.6739130434782608,0.5406360424028268
2020-09-01,-inf,inf,-0.030619596541786743,0.11887608069164265,-17.695652173913043,0.542471181556196,-4.884848484848485,2.6329442360362703e-16,0.01871558409785933,0.013821129177958446,0.8270264864864865,0.1722971846846847,inf,0.09652990536277603,-1.2677749623396015,-0.6753586113454976,3.9877521613832854,0.055115237752161386,0.1722971846846847,inf,0.31988472622478387,0.08021680216802168,0.939249957576786,,0.8094804010938924,2.8333333333333335,0.5495495495495496
2020-12-01,-inf,inf,-0.010681399631675874,0.14732965009208104,-92.41666666666667,0.9476537753222836,-2.235,1.944962957031745e-16,0.019962843197071384,0.013880493806210759,0.7051530172413794,0.1491298997265269,inf,0.09595043988269794,-0.07599751338215519,-1.043875901232002,4.341068139963167,0.0602561694290976,0.1491298997265269,inf,0.40405156537753223,0.09307653147802478,0.9811038042121035,,0.9456896551724138,-1.3157894736842106,0.5350957155879672
