,Sym,Amount (000)
2014-06-01,GE,1762.8
2014-06-01,SNY,3905.9
2014-06-01,COP,1355.2
2014-06-01,MEG,95387.0
2014-06-01,VRSK,1563.4
2014-06-01,GHC,178.0
2014-06-01,DNOW,1825.6
2014-06-01,JNJ,327.1
2014-06-01,MDLZ,578.0
2014-06-01,UPS,59.4
2014-06-01,LEE,8.9
2014-06-01,QSR,0.0
2014-06-01,FWONK,0.0
2014-06-01,KHC,0.0
2014-06-01,AAPL,0.0
2014-06-01,AXTA,0.0
2014-06-01,KMI,0.0
2014-06-01,LILA,0.0
2014-06-01,LILAK,0.0
2014-06-01,CHTR,0.0
2014-06-01,LUV,0.0
2014-06-01,DAL,0.0
2014-06-01,AAL,0.0
2014-06-01,UAL,0.0
2014-06-01,SIRI,0.0
2014-06-01,BAC,0.0
2014-06-01,SYF,0.0
2014-06-01,TEVA,0.0
2014-06-01,STOR,0.0
2014-06-01,JPM,0.0
2014-06-01,PNC,0.0
2014-06-01,AMZN,0.0
2014-06-01,TRV,0.0
2014-06-01,STNE,0.0
2014-06-01,KR,0.0
2014-06-01,OXY,0.0
2014-06-01,BIIB,0.0
2014-06-01,RH,0.0
2014-06-01,CVX,0.0
2014-06-01,ABBV,0.0
2014-06-01,BMY,0.0
2014-06-01,SNOW,0.0
2014-06-01,MRK,0.0
2014-06-01,AON,0.0
2014-06-01,TMUS,0.0
2014-06-01,MMC,0.0
2014-06-01,ATVI,0.0
2014-06-01,HPQ,0.0
2014-06-01,C,0.0
2014-06-01,PARA,0.0
2014-06-01,CE,0.0
2014-06-01,MCK,0.0
2014-06-01,MKL,0.0
2014-06-01,ALLY,0.0
2014-06-01,FND,0.0
2014-06-01,RPRX,0.0
2014-06-01,FWONA,0.0
2014-06-01,OGN,0.0
2014-06-01,T,0.0
2014-06-01,ORCL,0.0
2014-06-01,PFE,0.0
2014-06-01,TSM,0.0
2014-06-01,LPX,0.0
2014-06-01,JEF,0.0
2014-09-01,WFC,463458.2
2014-09-01,KO,400000.0
2014-09-01,IBM,73720.0
2014-09-01,AXP,151610.7
2014-09-01,WMT,60385.3
2014-09-01,PG,52793.1
2014-09-01,XOM,41129.6
2014-09-01,USB,80094.5
2014-09-01,DVA,37621.2
2014-09-01,MCO,24669.8
2014-09-01,GS,12631.5
2014-09-01,GM,40000.0
2014-09-01,BK,23377.6
2014-09-01,VZ,15000.9
2014-09-01,LBRDA,749296.0
2014-09-01,VRSN,12985.0
2014-09-01,MTB,5382.0
2014-09-01,COST,4333.4
2014-09-01,PSX,6202.4
2014-09-01,NOV,6382.4
2014-09-01,V,8585.2
2014-09-01,LBTYA,10401.0
2014-09-01,FWONK,14457.1
2014-09-01,MA,4715.4
2014-09-01,GL,6353.7
2014-09-01,LBTYK,7346.1
2014-09-01,GE,1762.8
2014-09-01,SNY,3905.9
2014-09-01,VRSK,1563.4
2014-09-01,GHC,178.0
2014-09-01,MEG,60912.0
2014-09-01,DNOW,1825.6
