,GS10,GS2,T10Y2YM,BAMLC0A2CAAEY,BAMLC0A4CBBBEY,FEDFUNDS,CORESTICKM159SFRBATL,DPCCRV1Q225SBEA,EXPINF1YR,EXPINF5YR,PCOPPUSDM,POILWTIUSDM,PCOALAUUSDM,PALUMUSDM,PIORECRUSDM,RTWEXBGS,UNRATE,A191RP1Q027SBEA,B075RC1Q027SBEA,China GDP Growth,GOLD
2014-12-01,2.21,0.64,1.57,2.46,3.63,0.12,1.9711259,0.9333333333333333,2.1860996,1.7832413,6446.45238095238,59.1395652173913,67.1622448979591,1909.45952380952,68.6739130434783,95.4125,5.6,2.9,341.32,6.0,1200.62
2015-01-01,1.88,0.55,1.33,2.415,3.5774999999999997,0.11,1.985653,0.8,0.91604112,1.5049432,5830.53571428571,47.5572727272727,64.7163265306122,1814.71904761905,69.0681818181818,97.1629,5.7,3.1,345.932,5.733333333333333,1250.75
2015-02-01,1.98,0.62,1.36,2.37,3.525,0.11,1.9819969,1.1,0.38334206,1.2882705,5729.275,50.857,70.659107142857,1817.82,63.8,98.5155,5.5,3.6,347.62966666666665,5.466666666666667,1227.08
2015-03-01,2.04,0.64,1.4,2.3249999999999997,3.4725,0.11,1.9991371,1.4,0.79843856,1.4951956,5939.67045454546,47.7822727272727,68.3449675324675,1773.86363636364,58.1818181818182,100.493,5.4,4.1,349.32733333333334,5.2,1178.63
2015-04-01,1.94,0.54,1.4,2.28,3.42,0.12,2.0631236,1.7,1.5899931,1.5864912,6042.0875,54.3786363636364,61.1978571428571,1819.1875,52.1136363636364,99.5793,5.4,4.6,351.025,5.733333333333333,1198.93
2015-05-01,2.2,0.61,1.59,2.42,3.58,0.12,2.0668869,1.5333333333333332,1.7028274,1.6757722,6294.77631578947,59.3885714285714,65.6712406015037,1804.03947368421,60.4285714285714,98.7845,5.6,3.9,341.949,6.2666666666666675,1198.63
2015-06-01,2.36,0.69,1.67,2.56,3.7,0.13,2.1147326,1.3666666666666667,1.7750546,1.7112977,5833.01136363636,59.8286363636364,63.1047077922077,1687.72727272727,61.8409090909091,99.5658,5.3,3.2,332.873,6.800000000000001,1181.5
2015-07-01,2.32,0.67,1.65,2.75,3.94,0.13,2.1414477,1.2,1.8011251,1.7693587,5456.75,51.1986956521739,64.4832298136645,1639.5,52.1739130434783,101.3875,5.2,2.5,323.797,6.933333333333334,1128.31
2015-08-01,2.17,0.7,1.47,2.75,4.01,0.14,2.1802398,1.1,1.7247986,1.6980816,5127.3,42.9128571428571,63.3932142857142,1548.125,57.3333333333333,103.0197,5.1,1.8333333333333335,314.39733333333334,7.066666666666666,1117.93
2015-09-01,2.17,0.71,1.46,2.75,4.08,0.14,2.279431,1.0,1.92835583,1.74063198,5217.25,45.51,61.7654220779219,1589.60227272727,56.9772727272727,103.6202,5.0,1.1666666666666667,304.9976666666667,7.199999999999999,1124.77
